Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-118.709,45.554,0,0,0.5,0.5
-118.453,45.544,0,0,0.5,0.5
-118.198,45.533,0,0,0.5,0.5
-117.943,45.522,0,0,0.5,0.5
-117.688,45.511,0,0,0.5,0.5
-116.924,45.472,0,0,0.5,0.5
-116.669,45.459,0,0,0.5,0.5
-116.415,45.444,0,0,0.5,0.5
-119.208,45.751,0,0,0.5,0.5
-118.951,45.743,0,0,0.5,0.5
-118.695,45.733,0,0,0.5,0.5
-118.439,45.723,0,0,0.5,0.5
-118.183,45.713,0,0,0.5,0.5
-117.927,45.702,0,0,0.5,0.5
-117.671,45.69,0,0,0.5,0.5
-117.16,45.665,0,0,0.5,0.5
-116.904,45.651,0,0,0.5,0.5
-116.649,45.637,0,0,0.5,0.5
-116.394,45.623,0,0,0.5,0.5
-117.91,45.881,0,0,0.5,0.5
-117.654,45.869,0,0,0.5,0.5
-117.397,45.857,0,0,0.5,0.5
-117.141,45.844,0,0,0.5,0.5
-116.885,45.83,0,0,0.5,0.5
-116.629,45.816,0,0,0.5,0.5
-116.373,45.802,0,0,0.5,0.5
-117.894,46.06,0,0,0.5,0.5
-117.636,46.048,0,0,0.5,0.5
-117.379,46.036,0,0,0.5,0.5
-117.122,46.023,0,0,0.5,0.5
-116.865,46.009,0,0,0.5,0.5
-116.608,45.995,0,0,0.5,0.5
-117.361,46.215,0,0,0.5,0.5
-117.103,46.202,0,0,0.5,0.5
-116.845,46.188,0,0,0.5,0.5
-122.796,41.798,3.62E-03,0,0.5,1.312094077
-122.7,41.798,2.43E-03,0,0.5,1.136463705
-122.604,41.798,1.04E-03,0,0.5,1.016668168
-122.507,41.798,1.39E-03,0,0.5,0.951063944
-122.411,41.797,1.63E-03,0,0.5,0.924377481
-122.315,41.797,1.78E-03,0,0.5,0.919170712
-122.218,41.796,1.80E-03,0,0.5,0.945521521
-121.352,41.787,0,0,0.5,0.791621082
-121.256,41.785,0,0,0.5,0.601728257
-121.16,41.784,0,0,0.5,0.500576444
-121.063,41.782,0,0,0.5,0.5
-120.967,41.781,0,0,0.5,0.5
-120.871,41.779,0,0,0.5,0.5
-120.775,41.777,0,0,0.5,0.5
-120.679,41.775,0,0,0.5,0.5
-120.582,41.773,0,0,0.5,0.583652906
-120.486,41.771,0,0,0.5,0.917703213
-120.39,41.769,1.77E-03,0,0.5,1.322731298
-120.294,41.767,1.75E-03,0,0.5,1.391677447
-122.892,41.871,3.01E-03,1.72E-03,0.5,1.422607033
-122.796,41.87,3.94E-03,0,0.5,1.225583142
-122.699,41.87,2.66E-03,0,0.5,1.072501189
-122.603,41.87,1.16E-03,0,0.5,0.977808505
-122.507,41.87,1.44E-03,0,0.5,0.938259018
-122.41,41.869,1.63E-03,0,0.5,0.923085075
-122.314,41.869,1.74E-03,0,0.5,0.929719322
-122.218,41.868,1.69E-03,0,0.5,0.975147209
-121.35,41.859,0,0,0.5,0.786514012
-121.254,41.857,0,0,0.5,0.589626681
-121.158,41.856,0,0,0.5,0.5
-121.061,41.854,0,0,0.5,0.5
-120.965,41.853,0,0,0.5,0.5
-120.869,41.851,0,0,0.5,0.5
-120.676,41.847,0,0,0.5,0.5
-120.58,41.845,0,0,0.5,0.51159809
-120.483,41.843,0,0,0.5,0.765865085
-120.387,41.841,0,0,0.5,1.020008873
-120.291,41.839,0,0,0.5,1.122092212
-120.002,41.832,0,0,0.5,0.673365477
-119.906,41.829,0,0,0.5,0.5
-119.81,41.826,0,0,0.5,0.5
-119.714,41.824,0,0,0.5,0.5
-119.617,41.821,0,0,0.5,0.5
-119.521,41.818,0,0,0.5,0.5
-119.425,41.815,0,0,0.5,0.5
-119.329,41.812,0,0,0.5,0.5
-119.233,41.809,0,0,0.5,0.5
-119.137,41.806,0,0,0.5,0.5
-119.041,41.802,0,0,0.5,0.5
-118.945,41.799,0,0,0.5,0.5
-118.849,41.796,0,0,0.5,0.5
-118.753,41.792,0,0,0.5,0.5
-118.657,41.788,0,0,0.5,0.5
-118.561,41.785,0,0,0.5,0.5
-118.465,41.781,0,0,0.5,0.5
-118.369,41.777,0,0,0.5,0.5
-118.273,41.773,0,0,0.5,0.5
-122.892,41.943,3.30E-03,1.95E-03,0.5,1.333065935
-122.796,41.943,2.18E-03,0,0.5,1.150496518
-122.699,41.942,2.84E-03,0,0.5,1.020090907
-122.603,41.942,1.22E-03,0,0.5,0.958691605
-122.506,41.942,1.45E-03,0,0.5,0.935178117
-122.41,41.941,1.56E-03,0,0.5,0.941032937
-122.313,41.941,1.56E-03,0,0.5,0.977975814
-122.217,41.94,1.39E-03,0,0.5,1.067506182
-121.348,41.931,0,0,0.5,0.761962156
-121.252,41.929,0,0,0.5,0.57598078
-121.155,41.928,0,0,0.5,0.5
-121.059,41.926,0,0,0.5,0.5
-120.963,41.925,0,0,0.5,0.5
-120.866,41.923,0,0,0.5,0.5
-120.77,41.921,0,0,0.5,0.5
-120.673,41.919,0,0,0.5,0.5
-120.577,41.917,0,0,0.5,0.5
-120.481,41.915,0,0,0.5,0.616863856
-120.384,41.913,0,0,0.5,0.810234883
-120.288,41.911,0,0,0.5,0.924921825
-120.191,41.908,0,0,0.5,0.995616647
-119.999,41.903,0,0,0.5,0.657285658
-119.903,41.901,0,0,0.5,0.5
-119.806,41.898,0,0,0.5,0.5
-119.71,41.896,0,0,0.5,0.5
-119.614,41.893,0,0,0.5,0.5
-119.517,41.89,0,0,0.5,0.5
-119.421,41.887,0,0,0.5,0.5
-119.325,41.884,0,0,0.5,0.5
-119.229,41.881,0,0,0.5,0.5
-119.132,41.878,0,0,0.5,0.5
-119.036,41.874,0,0,0.5,0.5
-118.94,41.871,0,0,0.5,0.5
-118.844,41.867,0,0,0.5,0.5
-118.748,41.864,0,0,0.5,0.5
-118.652,41.86,0,0,0.5,0.5
-118.556,41.857,0,0,0.5,0.5
-118.46,41.853,0,0,0.5,0.5
-118.363,41.849,0,0,0.5,0.5
-118.267,41.845,0,0,0.5,0.5
-118.171,41.841,0,0,0.5,0.5
-118.075,41.837,0,0,0.5,0.5
-117.979,41.833,0,0,0.5,0.5
-117.883,41.829,0,0,0.5,0.5
-117.788,41.824,0,0,0.5,0.5
-117.692,41.82,0,0,0.5,0.5
-117.596,41.815,0,0,0.5,0.5
-122.892,42.015,3.61E-03,0,0.5,1.238475969
-122.795,42.015,2.41E-03,0,0.5,1.075867039
-122.699,42.014,2.99E-03,0,0.5,0.980749293
-122.602,42.014,1.28E-03,0,0.5,0.940619481
-122.506,42.014,1.41E-03,0,0.5,0.9448628
-122.409,42.013,1.43E-03,0,0.5,0.975744774
-122.312,42.013,1.29E-03,0,0.5,1.062433231
-122.216,42.012,2.91E-03,0,0.5,1.22262671
-121.346,42.003,0,0,0.5,0.746588941
-121.25,42.001,0,0,0.5,0.564305066
-121.153,42,0,0,0.5,0.5
-121.057,41.998,0,0,0.5,0.5
-120.96,41.997,0,0,0.5,0.5
-120.864,41.995,0,0,0.5,0.5
-120.767,41.993,0,0,0.5,0.5
-120.671,41.991,0,0,0.5,0.5
-120.574,41.989,0,0,0.5,0.5
-120.478,41.987,0,0,0.5,0.5
-120.381,41.985,0,0,0.5,0.587033413
-120.285,41.983,0,0,0.5,0.676381729
-120.188,41.98,0,0,0.5,0.734800694
-120.092,41.978,0,0,0.5,0.707520795
-119.995,41.975,0,0,0.5,0.583390065
-119.899,41.973,0,0,0.5,0.5
-119.803,41.97,0,0,0.5,0.5
